date,portfolio_value
2023-02-06 00:00:00+00:00,59483.87000000003
2023-02-07 00:00:00+00:00,59355.43000000002
2023-02-08 00:00:00+00:00,58989.87000000003
2023-02-09 00:00:00+00:00,58910.830000000016
2023-02-10 00:00:00+00:00,58841.67000000002
2023-02-13 00:00:00+00:00,59977.87000000003
2023-02-14 00:00:00+00:00,58910.830000000016
2023-02-15 00:00:00+00:00,58871.31000000003
2023-02-16 00:00:00+00:00,58495.87000000003
2023-02-17 00:00:00+00:00,59404.830000000016
2023-02-21 00:00:00+00:00,59128.190000000024
2023-02-22 00:00:00+00:00,59315.910000000025
2023-02-23 00:00:00+00:00,59236.87000000003
2023-02-24 00:00:00+00:00,59128.190000000024
2023-02-27 00:00:00+00:00,59108.43000000002
2023-02-28 00:00:00+00:00,58891.07000000002
2023-03-01 00:00:00+00:00,58159.950000000026
2023-03-02 00:00:00+00:00,58851.55000000003
2023-03-03 00:00:00+00:00,58752.75000000003
2023-03-06 00:00:00+00:00,59632.07000000002
2023-03-07 00:00:00+00:00,59296.15000000002
2023-03-08 00:00:00+00:00,59473.99000000002
2023-03-09 00:00:00+00:00,58663.830000000016
2023-03-10 00:00:00+00:00,58644.07000000002
2023-03-13 00:00:00+00:00,59226.99000000002
2023-03-14 00:00:00+00:00,59246.75000000003
2023-03-15 00:00:00+00:00,59701.230000000025
2023-03-16 00:00:00+00:00,59582.67000000002
2023-03-17 00:00:00+00:00,59414.710000000036
2023-03-20 00:00:00+00:00,59839.55000000003
2023-03-21 00:00:00+00:00,59493.75000000003
2023-03-22 00:00:00+00:00,59562.910000000025
2023-03-23 00:00:00+00:00,59138.07000000002
2023-03-24 00:00:00+00:00,60175.47000000003
2023-03-27 00:00:00+00:00,60620.07000000002
2023-03-28 00:00:00+00:00,60689.230000000025
2023-03-29 00:00:00+00:00,61114.07000000002
2023-03-30 00:00:00+00:00,61074.55000000003
2023-03-31 00:00:00+00:00,61222.75000000003
2023-04-03 00:00:00+00:00,61558.67000000002
2023-04-04 00:00:00+00:00,61548.79000000002
2023-04-05 00:00:00+00:00,61924.230000000025
2023-04-06 00:00:00+00:00,62062.55000000003
2023-04-10 00:00:00+00:00,61953.87000000003
2023-04-11 00:00:00+00:00,61953.87000000003
2023-04-12 00:00:00+00:00,61855.07000000002
2023-04-13 00:00:00+00:00,62299.67000000002
2023-04-14 00:00:00+00:00,62437.99000000002
2023-04-17 00:00:00+00:00,62684.99000000002
2023-04-18 00:00:00+00:00,62833.190000000024
2023-04-19 00:00:00+00:00,62912.230000000025
2023-04-20 00:00:00+00:00,63198.75000000003
2023-04-21 00:00:00+00:00,63248.15000000003
2023-04-24 00:00:00+00:00,63080.190000000024
2023-04-25 00:00:00+00:00,62912.230000000025
2023-04-26 00:00:00+00:00,62833.190000000024
2023-04-27 00:00:00+00:00,62902.35000000003
2023-04-28 00:00:00+00:00,63376.590000000026
2023-05-01 00:00:00+00:00,63514.910000000025
2023-05-02 00:00:00+00:00,63238.270000000026
2023-05-03 00:00:00+00:00,62843.07000000002
2023-05-04 00:00:00+00:00,62981.39000000003
2023-05-05 00:00:00+00:00,63238.270000000026
2023-05-08 00:00:00+00:00,63109.830000000016
2023-05-09 00:00:00+00:00,62645.47000000003
2023-05-10 00:00:00+00:00,62754.15000000002
2023-05-11 00:00:00+00:00,63099.950000000026
